specimen,gRNA,nuclease
Donor1_Control,Mock,Control
Donor1_Oligo,Mock,Oligo
Donor1_T1,TRAC_T1,Cas9v1
Donor1_T9,FOXP3_T9,Cas9v1
Donor1_Control_2,Mock,Control
Donor1_Oligo_2,Mock,Oligo
Donor1_T1_2,TRAC_T1,Cas9v1
Donor1_T9_2,FOXP3_T9,Cas9v1
