specimen,gRNA,nuclease
<<<<<<< HEAD
Donor2_Oligo_2,Mock,Mock+
Donor2_T1_2,TRAC_T1,Cas9v1+
Donor2_T9_2,TRAC_T1;FOXP3_T9,Cas9v1+
Donor2_Oligo,Mock,Mock-
Donor2_T1,TRAC_T1,Cas9v1-
Donor2_T9,TRAC_T1;FOXP3_T9,Cas9v1-
=======
Donor2_Control,Mock,Control
Donor2_Oligo,Mock,Oligo
Donor2_T1,TRAC_T1,Cas9v1
Donor2_T9,FOXP3_T9,Cas9v1
Donor2_Control_2,Mock,Control
Donor2_Oligo_2,Mock,Oligo
Donor2_T1_2,TRAC_T1,Cas9v1
Donor2_T9_2,FOXP3_T9,Cas9v1
>>>>>>> 138e04788e4b8285e885e18031a7510570c6ce99
